"trial","ref_position","var_area","response","correct","rt"
1,"L",14.4938840612303,"R",TRUE,2.6470000743866
2,"R",13.7870411670301,"L",TRUE,1.63100004196167
3,"R",10.0637337150984,"L",TRUE,1.52999997138977
4,"L",9.3911248545628,"L",FALSE,1.74499988555908
5,"R",13.86719205603,"L",TRUE,1.41299986839294
6,"L",13.209080558503,"R",TRUE,1.17499995231628
7,"L",11.5900141759776,"R",TRUE,1.7720000743866
8,"L",11.7917406086344,"R",TRUE,1.35900020599365
9,"L",12.8716846210882,"R",TRUE,1.3730001449585
10,"R",13.2900187945925,"L",TRUE,0.930000066757202
11,"L",10.3418058354873,"R",TRUE,1.77999997138977
12,"R",10.8776348393876,"L",TRUE,1.02999997138977
13,"R",13.5360897663049,"L",TRUE,1.14299988746643
14,"R",9.76205767248757,"L",TRUE,1.04400014877319
15,"L",14.9758492701221,"R",TRUE,1.00599980354309
16,"R",14.4652713637333,"L",TRUE,1.13700008392334
17,"L",8.09051668038592,"L",TRUE,0.936000108718872
18,"R",9.16522276890464,"L",TRUE,1.29800009727478
19,"R",8.54160999506712,"L",FALSE,1.20199990272522
20,"L",8.36531449854374,"R",FALSE,1.18700003623962
21,"L",14.0342286953237,"R",TRUE,0.853000164031982
22,"R",8.48927087034099,"L",FALSE,1.0789999961853
23,"L",9.12919787061401,"L",FALSE,1.19099998474121
24,"L",9.4526585501153,"R",TRUE,1.19300007820129
25,"L",11.5093663320877,"R",TRUE,1.08400011062622
26,"L",11.931689479854,"R",TRUE,0.858999967575073
27,"R",8.17722692410462,"R",TRUE,0.970000028610229
28,"R",8.47985127917491,"R",TRUE,1.08800005912781
29,"R",8.56521872524172,"L",FALSE,1.30900001525879
30,"L",14.5262394174933,"R",TRUE,1.29299998283386
31,"R",9.83586959354579,"R",FALSE,0.972000122070312
32,"R",13.6813918545377,"L",TRUE,1.18800020217896
33,"R",14.8064937421586,"L",TRUE,0.967000007629395
34,"R",12.0035233097151,"L",TRUE,1.31099987030029